game_id,game_name,name_in_vg,estimated_revenue,estimated_units_sold,number_of_reviews,steam_rating
1690250,Wet Waifu,Wet Waifu,380,750,25,0.6
653210,Prisoner,Fat Prisoner Simulator,7,11,404,0.851
267360,MURI,MURI,95,34,472,0.909
1886850,Horror In Valkeala,Horror In Valkeala,655,1,41,0.46299999999999997
499910,SHINRAI - Broken Beyond Despair,SHINRAI - Broken Beyond Despair,15,1,112,0.92
1863170,From Dusk To Dawn,NULL,NULL,NULL,NULL,NULL
1644840,Kittens and Yarn,Kittens and Yarn,5,4,137,0.9420000000000001
1422880,Frisbee For Fun,Frisbee For Fun,541,600,20,0.9
12460,BC Kings,BC Kings,38,13,190,0.616
410320,EARTH DEFENSE FORCE 4.1 The Shadow of New Despair,NULL,NULL,NULL,NULL,NULL
1345440,Toy Tanks,NULL,NULL,NULL,NULL,NULL
757600,Hotel Transylvania 3: Monsters Overboard,Hotel Transylvania 3: Monsters Overboard,8,460,16,0.625
952000,Be Vigilant!,Be Vigilant!,1,150,5,1.0
1735930,SICK,NULL,NULL,NULL,NULL,NULL
1528770,RoadPunk,RoadPunk,284,180,6,0.667
542260,The Herbalist,The Herbalist,128000,29,624,0.9420000000000001
369560,The Story Goes On,The Story Goes On,28,7,121,0.835
1494400,VR JAPAN,VR JAPAN,10,1,55,0.8
394850,Square Brawl,Square Brawl,29,8,164,0.774
953900,Pantsu Hunter: Back to the 90s,Pantsu Hunter: Back to the 90s,32,5,204,0.838
299480,Rogue Stormers,Rogue Stormers,1100000,91,955,0.69
1530670,Buyhads,Buyhads,2,510,17,0.706
1260220,Hentai Two Girls,Hentai Two Girls,2,2,72,0.8059999999999999
1503530,Minit Fun Racer,Minit Fun Racer,11,6,204,0.966
750960,Yissa Deep Realms,Yissa Deep Realms,3,991,76,0.9209999999999999
1898130,Memory Novel - The Threesome,Memory Novel - The Threesome,100,120,4,0.25
523210,A Normal Lost Phone,A Normal Lost Phone,115000,60,2243,0.8859999999999999
1278170,Big Rumble Boxing: Creed Champions,Big Rumble Boxing: Creed Champions,82,2,94,0.617
